oldcode,hsspend_per_cap68_z1,hsspend_per_cap68_z2,pop60,povrate60,hsspend_per_cap68,socspend_per_cap68,othspend_per_cap68,totspend_per_cap68,hsspend_per_cap72_a,hsspend_per_cap72_b,hsspend_per_cap72_c,socspend_per_cap72,othspend_per_cap72,totspend_per_cap72,hs72cpos,hs68pos,state,pct_urban_1960,pct_black_1960,hsspend_per_kid_68,hsspend_per_kid_72
42030,0,0,4785,52.58098,0,174.3269,472.8141,647.141,0,0,0,315.1944,617.5932,932.7876,0,0,42,0,0,0,0
14030,0,0,7586,52.61278,0,276.371,275.3262,551.6972,1.958749,1.958749,1.958749,547.4602,603.6884,1153.107,1,0,14,0,1.1,0,115.2205
18050,0,0,14316,52.71876,0,188.6266,361.4621,550.0887,.9520744,.9520744,.9520744,402.3798,337.4013,740.7332,1,0,18,0,10.6,0,56.00438
19034,0,0,34611,52.73486,0,115.5971,283.5505,399.1476,4.974586,4.974586,4.974586,412.5109,355.9126,773.398,1,0,19,45.3,46.8,0,292.6227
1047,0,0,22215,52.7599,0,257.5118,249.4346,506.9464,0,0,0,441.9741,695.9971,1137.971,0,0,1,13.3,3.3,0,0
11080,0,0,8740,52.78414,0,159.3655,168.4796,327.8451,0,0,0,413.1703,373.4398,786.6101,0,0,11,41.5,20.5,0,0
49007,2.145898,2.145898,8078,52.82972,2.145898,280.6912,625.9892,906.6804,0,0,0,481.3667,429.7956,911.1624,0,1,49,0,.1,126.2293,0
11137,0,0,24007,52.83723,0,158.1523,203.6151,361.7675,0,0,0,347.5759,405.0956,752.6715,0,0,11,42.2,29.8,0,0
19014,0,0,19877,52.83779,0,273.313,130.2079,403.5209,0,0,0,481.3275,201.5766,682.9041,0,0,19,39.7,50.3,0,0
32010,5.850272,5.850272,5897,52.86516,5.850272,181.7629,415.7456,597.5085,0,0,0,337.6273,571.938,909.5653,0,1,32,0,.1,344.1336,0
41041,0,0,14877,52.87775,0,124.6786,831.4655,956.144,0,0,0,319.8589,308.1959,628.0548,0,0,41,2,36.6,0,0
44189,1.650145,1.650145,4995,52.88383,1.650145,275.0805,431.1462,706.2267,8.420074,8.420074,8.420074,437.6972,631.6956,1077.813,1,1,44,51.3,0,97.06733,495.2985
37015,1.826244,1.826244,5550,52.89645,1.826244,269.3502,235.9421,505.2923,0,0,0,688.2443,278.4489,966.6932,0,1,37,0,2,107.4261,0
44060,0,0,5728,52.94426,0,341.2929,593.1967,934.4896,0,0,0,644.0573,684.4307,1328.488,0,0,44,0,14.2,0,0
1001,0,0,18674,52.95928,0,183.0764,277.8414,460.9178,0,0,0,364.5818,468.3647,832.9465,0,0,1,35.3,42.1,0,0
