oldcode,total_pop_80,pop16_19_80,pop18_24_80,pop25plus_80,pop18plus_80,hsplus_25plus_80,somecollege_25plus_80,collegeplus_25plus_80,hsplus_18plus_80,somecollege_18plus_80,collegeplus_18plus_80,hsplus_18_24_80,somecollege_18_24_80,collegeplus_18_24_80,inschool_16_19_80,pctinschool_16_19_80,pcthsplus_18_24_80,pctsomecollege_18_24_80,pctcollegeplus_18_24_80,pcthsplus_25plus_80,pctsomecollege_25plus_80,pctcollegeplus_25plus_80,povrate60
33027,65150,7328,11047,34891,45938,23785,10560,5380,32972,14561,5759,9187,4001,379,6029,.8227347,.8316285,.3621798,.034308,.6816944,.3026569,.1541945,19.08638
33028,702238,53184,96342,414129,510471,297135,157745,88338,375872,197015,96690,78737,39270,8352,40435,.760285,.8172656,.4076104,.0866912,.7174938,.3809079,.2133103,9.842957
33029,53439,3361,5332,34230,39562,20759,7474,2889,24868,8969,3059,4109,1495,170,2513,.7476941,.7706302,.2803826,.031883,.6064563,.2183465,.0843996,18.36667
33030,1321582,102216,155763,827006,982769,642749,331034,195076,778052,404212,212837,135303,73178,17761,84844,.8300462,.8686466,.4698035,.1140258,.7771999,.4002801,.2358822,5.289818
33031,1428285,69794,162096,1013496,1175592,689346,478581,336370,809398,558114,370315,120052,79533,33945,51138,.7326991,.7406228,.4906537,.2094129,.6801665,.4722081,.3318908,24.04963
33032,227354,17553,29429,134770,164199,88496,33688,15476,112099,42402,16783,23603,8714,1307,12504,.7123569,.802032,.2961025,.044412,.6566446,.2499666,.1148327,10.14071
33033,253466,19179,31483,151257,182740,98304,41807,20005,123559,52454,21667,25255,10647,1662,14173,.7389854,.802179,.3381825,.0527904,.6499137,.2763971,.1322583,14.01038
33034,463920,37275,65837,269581,335418,195852,96998,52392,251097,125038,58274,55245,28040,5882,29358,.7876056,.8391178,.4259003,.0893419,.7265052,.3598102,.194346,11.25471
33035,88909,7023,11255,52411,63666,37187,16991,8068,46423,20683,8490,9236,3692,422,5342,.7606436,.8206131,.328032,.0374944,.7095266,.3241877,.1539371,15.164
33036,259603,20066,30293,149708,180001,101093,45306,22348,124996,55575,23750,23903,10269,1402,13783,.6868833,.7890602,.3389892,.0462813,.6752679,.3026291,.1492773,15.61399
33037,38496,3027,4310,22392,26702,13829,4956,2207,16854,5677,2339,3025,721,132,2162,.7142385,.7018561,.1672854,.0306264,.6175866,.221329,.098562,17.36371
33038,113901,10305,17583,60927,78510,38616,13990,6619,53079,20307,7441,14463,6317,822,7634,.7408054,.8225559,.3592675,.0467497,.6338077,.2296191,.1086382,18.48645
33039,59075,6154,11199,33398,44597,22621,10560,5420,32437,16407,5790,9816,5847,370,5181,.8418915,.8765068,.5221002,.0330387,.677316,.3161866,.1622852,22.93665
33040,77193,5743,7533,45230,52763,34991,16451,8811,40968,18856,9325,5977,2405,514,4470,.7783388,.7934422,.3192619,.0682331,.7736237,.3637188,.1948043,10.95685
33041,1891325,113797,208431,1246448,1454879,786507,363443,192969,947545,449506,214419,161038,86063,21450,86113,.7567247,.7726202,.4129088,.1029118,.6309987,.291583,.1548151,8.050292
33042,151966,12685,21762,88110,109872,58154,25310,12217,76663,34231,13649,18509,8921,1432,10020,.7899094,.8505192,.4099348,.0658028,.6600159,.2872546,.1386562,15.65891
33043,352121,24695,39792,209864,249656,143831,61426,31025,175405,75638,34064,31574,14212,3039,18338,.7425795,.7934761,.3571572,.0763721,.6853534,.2926943,.1478338,9.239089
33044,259530,20283,28195,151137,179332,115825,65291,38921,138797,77275,41565,22972,11984,2644,16951,.8357245,.8147544,.4250399,.0937755,.7663577,.4319988,.2575213,8.566895
33045,114254,12490,21149,59808,80957,38515,16575,7968,56683,26346,8827,18168,9771,859,10497,.8404323,.8590477,.4620077,.0406166,.6439774,.2771368,.1332263,22.78231
33046,153759,11635,17938,88086,106024,64469,31442,16381,79029,37510,17776,14560,6068,1395,9008,.7742158,.8116847,.3382763,.0777679,.731887,.3569466,.185966,17.21275
33047,149946,10300,16986,94522,111508,67590,31890,17293,81727,38347,18716,14137,6457,1423,7650,.7427185,.8322737,.3801366,.0837749,.7150716,.3373818,.1829521,13.1257
33048,29710,3618,5049,16697,21746,10712,4053,1919,14908,5630,2105,4196,1577,186,2943,.8134328,.8310556,.3123391,.036839,.6415524,.2427382,.1149308,26.78002
33049,17686,1428,1906,10404,12310,6641,2499,1173,7994,2871,1237,1353,372,64,1000,.7002801,.7098636,.1951731,.0335782,.6383122,.2401961,.1127451,20.1903
33050,33733,2568,4088,20216,24304,13283,5407,2458,16434,6449,2593,3151,1042,135,1859,.7239097,.7707925,.2548924,.0330235,.6570538,.2674614,.1215869,16.29602
33051,99217,7305,10463,58952,69415,39288,15696,7432,47255,18207,7921,7967,2511,489,5482,.7504449,.7614451,.2399885,.0467361,.6664405,.2662505,.1260687,19.72593
