oldcode,_type_,_freq_,death_rate,tb_rate,other_infectious_rate,diabetes_rate,nutrition_rate,anemias_rate,meningitis_rate,circulatory_rate,respiratory_rate,injury_rate,neop_rate,age1_5_rate,age1_5_tb_rate,age1_5_other_inf_rate,age1_5_diabetes_rate,age1_5_nutrition_rate,age1_5_anemias_rate,age1_5_meningitis_rate,age1_5_circ_rate,age1_5_resp_rate,age1_5_injury_rate,age1_5_neop_rate,age5_9_rate,age5_9_tb_rate,age5_9_other_inf_rate,age5_9_diabetes_rate,age5_9_nutrition_rate,age5_9_anemias_rate,age5_9_meningitis_rate,age5_9_circ_rate,age5_9_resp_rate,age5_9_injury_rate,age5_9_neop_rate,age1_9_rate,age1_9_tb_rate,age1_9_other_inf_rate,age1_9_diabetes_rate,age1_9_nutrition_rate,age1_9_anemias_rate,age1_9_meningitis_rate,age1_9_circ_rate,age1_9_resp_rate,age1_9_injury_rate,age1_9_neop_rate,age10_14_rate,age10_14_tb_rate,age10_14_other_inf_rate,age10_14_diabetes_rate,age10_14_nutrition_rate,age10_14_anemias_rate,age10_14_meningitis_rate,age10_14_circ_rate,age10_14_resp_rate,age10_14_injury_rate,age10_14_neop_rate,age15_19_rate,age15_19_tb_rate,age15_19_other_inf_rate,age15_19_diabetes_rate,age15_19_nutrition_rate,age15_19_anemias_rate,age15_19_meningitis_rate,age15_19_circ_rate,age15_19_resp_rate,age15_19_injury_rate,age15_19_neop_rate,age20_24_rate,age20_24_tb_rate,age20_24_other_inf_rate,age20_24_diabetes_rate,age20_24_nutrition_rate,age20_24_anemias_rate,age20_24_meningitis_rate,age20_24_circ_rate,age20_24_resp_rate,age20_24_injury_rate,age20_24_neop_rate,age25plus_rate,age25plus_tb_rate,age25plus_other_inf_rate,age25plus_diabetes_rate,age25plus_nutrition_rate,age25plus_anemias_rate,age25plus_meningitis_rate,age25plus_circ_rate,age25plus_resp_rate,age25plus_injury_rate,age25plus_neop_rate,black_age1_5_rate,black_age1_5_tb_rate,black_age1_5_other_inf_rate,black_age1_5_diabetes_rate,black_age1_5_nutrition_rate,black_age1_5_anemias_rate,black_age1_5_meningitis_rate,black_age1_5_circ_rate,black_age1_5_resp_rate,black_age1_5_injury_rate,black_age1_5_neop_rate,black_age1_9_rate,black_age1_9_tb_rate,black_age1_9_other_inf_rate,black_age1_9_diabetes_rate,black_age1_9_nutrition_rate,black_age1_9_anemias_rate,black_age1_9_meningitis_rate,black_age1_9_circ_rate,black_age1_9_resp_rate,black_age1_9_injury_rate,black_age1_9_neop_rate,black_age5_9_rate,black_age5_9_tb_rate,black_age5_9_other_inf_rate,black_age5_9_diabetes_rate,black_age5_9_nutrition_rate,black_age5_9_anemias_rate,black_age5_9_meningitis_rate,black_age5_9_circ_rate,black_age5_9_resp_rate,black_age5_9_injury_rate,black_age5_9_neop_rate,povrate60,pop60,pct_urban_1960,pct_black_1960,_merge,state,age5_9_sum2,age25plus_sum2,age5_9_sum2_black
42014,0,11,977.4328,0,2.177881,11.32498,1.742304,2.613457,.4355761,543.599,57.49605,70.12775,172.9237,50.84853,0,6.356067,0,0,0,6.356067,0,0,31.78033,0,22.26676,0,0,0,0,0,0,0,0,22.26676,0,35.61148,0,2.967623,0,0,0,2.967623,0,0,26.70861,0,20.93036,0,0,0,0,0,0,0,0,15.69777,0,90.31481,0,0,0,0,0,0,0,0,68.81129,8.601411,98.67285,0,0,4.933642,0,0,0,0,0,78.93828,9.867285,1660.973,0,2.324122,19.36768,3.09883,4.648244,0,966.8348,101.4867,89.86605,304.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.07527,20864,69.6,0,3,42,0,130.9255,0
17030,0,11,1159.792,.4256116,4.681727,16.59885,2.128058,1.702446,.8512232,624.3722,72.77959,88.52721,214.9339,59.92958,0,7.491198,0,0,0,7.491198,0,0,37.45599,0,28.76208,0,0,0,0,0,0,0,0,5.752416,11.50483,42.29981,0,3.253831,0,0,0,3.253831,0,0,19.52299,6.507663,35.55827,0,0,0,0,0,0,0,0,20.31901,5.079752,180.5311,0,0,0,0,0,0,0,0,147.2754,9.501639,121.5251,0,0,0,0,0,0,10.1271,0,91.14385,5.063548,1862.703,.71286,7.1286,27.80154,3.5643,2.85144,.71286,1043.627,119.7605,104.7904,355.7171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.09466,19376,54.6,1.6,3,17,0,162.5321,0
15066,0,11,1097.985,0,4.861415,22.9181,.6944879,2.083464,0,606.2879,43.75274,82.64405,217.3747,31.32832,0,0,0,0,0,0,10.44277,0,10.44277,10.44277,47.79353,0,0,0,0,0,0,0,0,39.82794,0,40.66877,0,0,0,0,0,0,4.518753,0,27.11252,4.518753,30.63256,0,0,0,0,0,0,7.658141,0,22.97442,0,98.92702,0,7.609771,0,0,0,0,0,0,83.70748,0,195.5854,0,9.313588,0,0,0,0,0,0,149.0174,37.25435,1813.754,0,4.84637,39.98255,1.211593,3.634778,0,1055.297,76.33033,95.71581,373.1705,0,0,0,0,0,0,0,0,0,0,0,1123.595,0,0,0,0,0,0,0,0,1123.595,0,1851.852,0,0,0,0,0,0,0,0,1851.852,0,27.11334,12788,0,.3,3,15,0,126.0056,0
6042,0,11,833.0297,1.138797,3.416389,14.23496,1.708195,1.138797,1.138797,328.5428,57.50922,120.7124,145.766,133.8372,0,0,0,0,0,0,7.872776,15.74555,62.98221,7.872776,70.55805,6.414368,0,0,0,0,0,0,6.414368,51.31495,6.414368,98.9679,3.534568,0,0,0,0,0,3.534568,10.6037,56.55309,7.069136,22.76478,0,0,0,0,0,0,0,0,22.76478,0,133.1638,0,0,0,0,0,0,0,0,115.0051,6.052902,253.0444,0,0,7.907639,0,0,0,7.907639,0,213.5062,0,1355.406,1.027601,4.110405,24.66243,3.082804,2.055203,2.055203,590.8708,97.62213,147.9746,259.9832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.12221,14328,48.2,.2,3,6,12.82874,134.6158,0
28010,0,11,852.1738,1.861222,1.861222,10.10378,6.91311,1.329444,.5317777,413.7231,52.11422,68.59933,167.51,76.39744,0,4.244302,0,0,0,4.244302,8.488604,0,42.44302,4.244302,36.55906,0,0,0,0,0,0,0,3.655906,25.59134,3.655906,54.9947,0,1.964096,0,0,0,1.964096,3.928193,1.964096,33.38964,3.928193,33.69524,0,0,0,0,0,0,3.743916,7.487832,18.71958,3.743916,80.63251,0,0,0,0,2.239792,0,6.719377,0,67.19376,0,91.38381,0,0,1.864976,0,0,0,7.459903,1.864976,65.27415,7.459903,1550.755,3.608805,2.577718,19.07512,13.40413,2.062175,0,794.9683,98.98438,88.15796,321.1837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.14013,26015,54.2,.1,3,28,3.655906,139.7123,0
15075,0,11,1096.204,.4253799,3.403039,18.29133,.4253799,.4253799,0,599.3602,61.2547,99.96427,193.9732,65.71597,0,0,0,0,0,0,6.571598,0,39.42958,6.571598,43.29837,0,0,0,0,0,0,0,0,43.29837,0,52.77338,0,0,0,0,0,0,2.777546,0,41.6632,2.777546,69.23709,0,0,0,0,0,0,0,0,60.58246,8.654636,130.6051,0,0,0,0,0,0,0,4.353505,104.4841,4.353505,249.7621,0,0,0,0,0,0,11.89343,0,190.295,11.89343,1819.871,.7554468,4.532681,32.48421,.7554468,.7554468,0,1060.647,105.0071,111.8061,339.951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.17192,18217,19.3,.1,3,15,0,144.2903,0
16016,0,11,989.4391,.9874641,5.924785,13.8245,1.481196,1.481196,1.481196,547.5489,48.87947,49.86694,206.38,41.63891,0,8.327782,0,0,0,0,0,0,16.65556,0,19.34111,0,0,0,0,0,0,0,0,19.34111,0,29.07082,0,3.633853,0,0,0,0,0,0,18.16927,0,27.14883,0,0,0,0,0,0,0,0,16.2893,5.429766,76.42339,0,0,0,0,0,0,5.458813,5.458813,65.50576,0,138.222,0,0,0,0,0,0,14.54969,7.274844,101.8478,0,1578.472,1.643385,6.573542,23.00739,2.465078,2.465078,0,908.7921,78.8825,54.23172,342.6458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.17367,17909,16.1,0,3,16,0,115.037,0
26064,0,11,1297.545,1.281209,3.523326,18.25723,1.601512,5.124838,1.281209,677.4395,83.27862,67.2635,269.054,53.17452,0,5.317452,0,0,0,0,5.317452,5.317452,10.6349,0,58.92504,0,4.208931,0,0,0,0,0,8.417863,29.46252,8.417863,56.38435,0,4.698696,0,0,0,0,2.349348,7.048044,21.14413,4.698696,35.57594,0,0,0,0,0,0,0,0,27.67017,3.952882,146.9868,0,0,0,0,0,0,7.537783,3.768892,113.0667,3.768892,153.1068,0,0,0,0,0,0,4.252966,0,102.0712,17.01187,2045.905,2.112992,4.754232,30.11014,2.64124,8.451969,1.056496,1115.132,133.1185,72.89823,439.5024,96.80542,0,0,0,0,0,0,0,0,0,0,123.9157,0,0,0,0,0,0,0,0,41.30524,0,144.0922,0,0,0,0,0,0,0,0,72.04611,0,27.1885,29707,77.5,5.3,3,26,12.62679,182.2456,0
16010,0,11,926.8873,0,3.993483,16.77263,.3993483,1.597393,.3993483,501.5814,49.91853,75.47682,173.3172,73.30551,0,0,0,0,0,5.638886,0,11.27777,33.83331,11.27777,48.20122,0,4.381929,0,0,0,0,0,4.381929,21.90965,8.763858,59.17889,0,2.465787,0,0,0,2.465787,0,7.397362,27.12366,9.863149,43.32414,0,0,0,0,0,0,0,0,27.56991,7.877117,117.6184,0,0,0,0,0,0,4.055808,4.055808,105.451,4.055808,160.1736,0,0,0,0,0,0,5.166891,0,134.3392,10.33378,1597,0,5.882137,30.88122,.7352671,2.941068,0,922.0249,87.49678,86.76151,312.4885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.19137,22548,24.7,.1,3,16,8.763858,127.9365,0
26016,0,11,854.5055,.8104187,2.431256,13.9392,1.134586,1.29667,.1620837,455.7795,33.38925,51.05638,176.8334,42.2565,0,0,0,0,0,0,3.018321,0,24.14657,0,26.4131,2.401191,0,0,0,0,0,0,0,14.40715,4.802382,33.43274,1.33731,0,0,0,0,0,1.33731,0,18.72233,2.674619,19.71307,0,0,0,0,0,0,0,0,10.9517,2.190341,53.25444,0,0,0,0,0,0,2.95858,1.47929,41.42012,4.43787,64.00491,0,0,0,0,0,0,2.560197,0,49.92384,5.120393,1472.842,1.167764,3.795233,25.10692,2.043587,2.335528,.291941,819.1863,59.8479,65.39478,314.7124,155.4404,0,0,0,0,0,0,0,0,103.6269,0,115.9286,0,0,0,0,0,0,0,0,69.55715,23.18572,83.92782,0,0,0,0,0,0,0,0,41.96391,41.96391,27.19163,42126,71,2.8,3,26,2.401191,94.58887,0
15087,0,11,717.3213,.7055619,1.646311,19.05017,.4703746,1.646311,.4703746,378.1812,32.92622,57.3857,144.1698,48.78559,0,0,0,0,0,3.484685,0,3.484685,31.36216,6.969369,13.06882,0,0,0,0,0,0,0,0,10.45506,2.613764,28.37684,0,0,0,0,0,1.493518,0,1.493518,19.41574,4.480555,39.02153,0,0,0,0,0,0,0,0,19.51077,4.877692,71.58928,0,2.55676,0,0,2.55676,0,0,0,53.69196,7.67028,121.636,0,0,0,0,0,0,12.1636,3.0409,103.3906,0,1203.82,1.256597,2.513194,33.92812,.8377314,2.513194,.4188657,671.8606,54.03368,69.11284,253.4138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.23637,23391,20.4,1.1,3,15,0,95.50138,0
26014,0,11,892.8598,.2999193,4.49879,19.19484,1.799516,1.799516,.2999193,431.284,51.58612,77.67911,174.553,46.24396,0,0,0,0,0,0,5.138218,0,15.41465,0,55.5115,0,0,0,0,0,0,0,0,43.61618,3.965107,51.47486,0,0,0,0,0,0,2.238038,0,31.33253,2.238038,65.4998,0,0,0,0,3.638878,0,3.638878,0,36.38878,3.638878,67.85603,0,2.827335,0,0,0,0,0,2.827335,56.54669,5.654669,140.4023,0,0,0,0,0,0,15.26112,3.052223,112.9323,0,1485.459,.53109,4.24872,33.98976,3.18654,2.65545,.53109,758.3965,89.75421,92.94075,306.97,113.5074,0,0,0,0,0,0,113.5074,0,0,0,96.38554,0,0,0,0,0,0,48.19277,0,48.19277,0,83.75209,0,0,0,0,0,0,0,0,83.75209,0,27.24039,23978,46.7,8.5,3,26,0,134.8969,0
37037,0,11,1007.223,1.280639,3.201598,15.36767,0,.6403196,0,516.0977,58.90941,104.3721,186.333,69.30693,0,0,0,0,0,0,0,0,39.60396,9.90099,8.204792,0,0,0,0,0,0,0,0,0,8.204792,35.89375,0,0,0,0,0,0,0,0,17.94688,8.973438,58.58231,0,0,0,0,0,0,0,0,29.29115,14.64558,156.3055,0,0,0,0,0,0,0,0,142.0959,7.104796,234.8439,0,0,0,0,0,0,0,0,200.0522,8.697921,1600.566,2.17616,4.35232,26.11392,0,1.08808,0,875.9045,100.1034,120.7769,310.1028,425.5319,0,0,0,0,0,0,0,0,0,425.5319,158.2278,0,0,0,0,0,0,0,0,0,158.2278,0,0,0,0,0,0,0,0,0,0,0,27.25421,10858,30.6,5.7,3,37,0,133.8338,0
35020,0,11,1224.09,0,11.658,20.9844,4.6632,0,0,692.4852,86.2692,97.92721,188.8596,172.9356,0,0,0,0,0,0,0,43.23389,86.46779,0,0,0,0,0,0,0,0,0,0,0,0,75.77193,0,0,0,0,0,0,0,18.94298,37.88596,0,87.36168,0,0,0,0,0,0,0,0,87.36168,0,117.1303,0,0,0,0,0,0,0,0,87.84773,0,228.5714,0,0,0,0,0,0,38.09524,0,152.381,38.09524,1812.7,0,18.16332,32.69398,7.26533,0,0,1075.269,130.7759,108.9799,290.6132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2598,4986,0,0,3,35,0,188.8986,
