oldcode,ecls_pop,ecls_center,ecls_headstrt,ecls_hs_fullday,ecls_hs_partday,ecls_c1reading,ecls_c1math,ecls_c1general,propvoter68,propvoter70,propvoter72,propvoter74,propvoter76,propvoter78,propvoter80,voter_missing,age5_9_rate,age5_9_tb_rate,age5_9_other_inf_rate,age5_9_diabetes_rate,age5_9_nutrition_rate,age5_9_anemias_rate,age5_9_meningitis_rate,age5_9_circ_rate,age5_9_resp_rate,age5_9_injury_rate,infant_rate,infant_tb_rate,infant_other_inf_rate,infant_diabetes_rate,infant_nutrition_rate,infant_anemias_rate,infant_meningitis_rate,infant_resp_rate,infant_injury_rate,postneonate_rate,postneonate_tb_rate,postneonate_other_inf_rate,postneonate_diabetes_rate,postneonate_nutrition_rate,postneonate_anemias_rate,postneonate_meningitis_rate,postneonate_resp_rate,postneonate_injury_rate,infant_sum1,infant_sum2,postneonate_sum1,postneonate_sum2,age5_9_sum1,age5_9_sum2,age5_9_sum3,age5_9_sum3b,age5_9_sum4,age5_9_sum1_count,age5_9_sum2_count,age5_9_sum3_count,age5_9_sum3b_count,age5_9_sum4_count,black_age5_9_sum1,black_age5_9_sum2,black_age5_9_sum3,black_age5_9_sum3b,black_age5_9_sum4,white_age5_9_sum1,white_age5_9_sum2,white_age5_9_sum3,white_age5_9_sum3b,white_age5_9_sum4,age25plus_sum1,age25plus_sum2,age25plus_sum3,age25plus_sum3b,age25plus_sum4,pop60,povrate60,hsspend_per_cap68,socspend_per_cap68,othspend_per_cap68,totspend_per_cap68,hsspend_per_cap72_a,hsspend_per_cap72_b,hsspend_per_cap72_c,socspend_per_cap72,othspend_per_cap72,totspend_per_cap72,hs72cpos,hs68pos,state,pct_urban_1960,pct_black_1960
44240,,,,,,,,,,,,,.494105,.4583511,.4927188,0,23.7371,0,0,0,0,0,0,.8791518,.8791518,7.033215,1186.53,0,41.43438,0,0,0,37.66762,82.86877,26.36733,357.8424,0,15.06705,0,0,0,33.90086,71.56848,26.36733,79.10201,161.9708,48.96791,120.5364,0,.8791518,1.758304,7.912366,8.791518,0,1,2,9,10,0,0,0,0,0,0,.8823711,1.764742,7.94134,8.823711,69.92081,125.5721,658.4379,198.5506,731.4165,66506,60.02448,3.914547,216.4925,611.4764,827.9689,25.23697,25.23697,25.23697,448.9154,796.5452,1270.698,1,1,44,93.7,.3
26112,,,,,,,,,,,,.5435292,.76293,.8076293,.9606833,0,82.63487,0,0,0,0,0,0,0,0,59.02491,1663.34,0,66.5336,0,66.5336,0,0,199.6008,133.0672,665.336,0,0,0,66.5336,0,0,133.0672,133.0672,133.0672,332.668,66.5336,199.6008,0,0,0,59.02491,59.02491,0,0,0,5,5,0,0,0,0,0,0,0,0,59.41771,59.41771,44.59426,216.4133,1181.748,331.8337,1297.168,8467,60.09212,0,327.414,224.0194,551.4334,0,0,0,604.312,316.2836,920.5956,0,0,26,0,0
25058,,,,,,,,,,,,,,,.8077521,0,16.26016,0,0,0,0,0,0,5.420054,0,10.84011,1676.154,0,63.25111,0,31.62555,0,0,31.62555,94.87666,411.1322,0,63.25111,0,31.62555,0,0,31.62555,94.87666,94.87666,126.5022,94.87666,126.5022,0,0,5.420054,10.84011,16.26016,0,0,1,2,3,0,0,0,0,0,0,0,6.791633,13.58327,20.3749,30.31952,118.9458,1099.277,230.1174,1210.449,17298,60.14148,0,164.1398,335.9339,500.0737,0,0,0,424.7267,332.2156,756.9423,0,0,25,0,19.1
10020,,,,,,,,,.3018324,.3099224,.3967436,.3464679,.3476929,.3732901,.4599071,0,47.40164,0,0,0,0,0,0,7.48447,2.494823,24.94823,2546.556,0,89.74647,0,0,0,67.30985,201.9296,56.09154,1088.176,0,44.87323,0,0,0,44.87323,168.2746,44.87323,157.0563,358.9859,89.74647,258.0211,0,2.494823,9.979293,27.44306,34.92752,0,1,4,11,14,0,3.432651,13.73061,37.75917,48.05712,0,0,0,0,0,39.07455,104.8843,822.6221,222.9306,940.6684,43002,60.15988,0,142.6667,210.725,353.3917,0,0,0,461.349,283.7661,745.1151,0,0,10,44.2,59.4
10065,,,,,,,,,.546766,.5873494,.76078,.758402,.9164553,.9256499,.9105898,0,20.62281,0,0,0,0,0,0,0,0,0,1426.799,0,0,0,0,0,62.03474,124.0695,0,620.3474,0,0,0,0,0,62.03474,124.0695,0,62.03474,186.1042,62.03474,186.1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.87374,97.79559,702.2044,203.6072,808.0161,5462,60.23081,0,177.2574,340.241,517.4984,0,0,0,430.6262,670.1205,1100.747,0,0,10,0,28.5
47013,,,,,,,,,,,,.489117,.4520158,.4272199,,0,29.51812,0,0,0,0,0,0,0,0,14.75906,1614.907,0,0,0,0,0,0,124.2236,41.40787,455.4865,0,0,0,0,0,0,124.2236,41.40787,0,124.2236,0,124.2236,0,0,0,14.75906,14.75906,0,0,0,2,2,0,0,0,11.20448,11.20448,0,0,0,21.65909,21.65909,67.60217,142.3743,1236.3,298.0641,1391.99,17596,60.24159,0,220.9139,533.4479,754.3619,0,0,0,439.4775,259.365,698.8425,0,0,47,0,58.7
4064,,,,,,,,,.5035945,.5299135,.6600463,.6187401,.6159376,.7091507,.7405873,0,24.8293,0,0,0,0,0,0,0,0,24.8293,1326.7,0,0,0,0,0,0,0,82.91874,331.675,0,0,0,0,0,0,0,82.91874,0,0,0,0,0,0,0,24.8293,24.8293,0,0,0,2,2,0,0,0,0,0,0,0,0,25.02189,25.02189,28.1602,101.6896,1129.537,211.2015,1239.049,7357,60.25554,0,221.4853,454.7606,676.2459,0,0,0,455.3077,559.738,1015.046,0,0,4,0,0
11142,,,,,,,,,.4720137,.4502844,.5448236,.4574516,.5129693,.4625711,.48157,0,41.46796,0,0,0,0,0,0,0,0,31.10098,2412.605,0,0,0,0,0,49.23683,492.3683,147.7105,738.5524,0,0,0,0,0,49.23683,246.1841,147.7105,49.23683,541.6051,49.23683,295.421,0,0,0,31.10098,31.10098,0,0,0,3,3,0,0,0,21.50538,21.50538,0,0,0,40.24145,40.24145,25.38899,85.23448,1256.755,201.2985,1372.819,8289,60.27165,0,171.5904,463.9977,635.5882,0,0,0,376.9534,733.1979,1110.151,0,0,11,39,36.9
18036,,,,,,,,,.7339575,.7825796,.5937195,.5155619,,.631447,.6788152,0,46.34943,0,0,0,0,4.414231,2.207116,4.414231,2.207116,19.86404,1278.802,0,23.04148,0,0,0,0,57.60369,92.1659,529.9539,0,11.52074,0,0,0,0,46.08295,80.64516,23.04148,80.64516,11.52074,57.60369,6.621347,8.828463,13.24269,28.6925,33.10674,3,4,6,13,15,0,0,0,0,0,6.658676,8.878235,13.31735,28.85426,33.29338,42.68542,120.4597,860.5815,225.7263,965.8481,42523,60.36939,3.5281,288.0507,222.4174,510.4681,0,0,0,535.5739,185.1278,720.7016,0,1,18,7.5,.8
11050,,,,,,,,,.5072765,.5114345,.558212,.529106,.6081081,.5826403,.7198545,0,93.89671,0,0,0,0,0,0,0,0,93.89671,2147.239,0,0,0,0,0,0,306.7485,306.7485,920.2454,0,0,0,0,0,0,306.7485,306.7485,0,306.7485,0,306.7485,0,0,0,93.89671,93.89671,0,0,0,2,2,0,0,0,0,0,0,0,0,133.2445,133.2445,31.96675,87.90858,831.1356,215.7756,959.0026,1991,60.37167,0,120.3274,181.7724,302.0998,0,0,0,372.7963,243.3004,616.0967,0,0,11,0,27.7
