oldcode,total_pop_00,pop18_24_00,pop25_34_00,pop35_44_00,pop45_64_00,pop65plus_00,hsplus_18_24_00,somecollege_18_24_00,collegeplus_18_24_00,hsplus_25_34_00,somecollege_25_34_00,collegeplus_25_34_00,hsplus_35_44_00,somecollege_35_44_00,collegeplus_35_44_00,hsplus_45_64_00,somecollege_45_64_00,collegeplus_45_64_00,hsplus_65plus_00,somecollege_65plus_00,collegeplus_65plus_00,pcthsplus_18_24_00,pctsomecollege_18_24_00,pctcollegeplus_18_24_00,pcthsplus_25_34_00,pctsomecollege_25_34_00,pctcollegeplus_25_34_00,pcthsplus_35_44_00,pctsomecollege_35_44_00,pctcollegeplus_35_44_00,pcthsplus_45_64_00,pctsomecollege_45_64_00,pctcollegeplus_45_64_00,pcthsplus_65plus_00,pctsomecollege_65plus_00,pctcollegeplus_65plus_00,povrate60
17105,157882,17603,22597,24518,31077,18416,10617,5299,850,17038,10183,3211,19505,10355,2844,24110,13528,4246,10834,4323,1335,.6031358,.3010282,.0482872,.7539939,.450635,.1420985,.7955379,.4223428,.1159964,.7758149,.4353059,.1366284,.5882928,.2347415,.0724913,16.65832
18001,17244,2116,2177,2516,4061,2516,1422,854,162,1711,866,338,1758,823,243,2478,1167,430,821,403,222,.6720227,.4035917,.0765595,.785944,.3977951,.1552595,.6987281,.3271065,.0965819,.6101945,.2873676,.1058853,.3263116,.1601749,.0882353,59.4622
18002,17800,1705,2384,2722,4097,2440,1102,376,35,1930,817,254,2072,726,264,2626,1073,418,882,331,124,.6463343,.2205279,.0205279,.8095638,.3427013,.1065436,.761205,.2667156,.0969875,.6409568,.261899,.1020259,.3614754,.1356557,.0508197,53.51461
18003,19111,1526,2878,3311,4384,2027,1003,470,109,2536,1398,408,2936,1381,445,3582,1593,572,1080,343,87,.6572739,.3079948,.0714286,.8811675,.485754,.1417651,.8867412,.4170945,.1344005,.817062,.3633668,.1304744,.5328071,.1692156,.0429206,33.73228
18004,8286,650,1077,1235,2121,1333,423,225,29,922,529,122,1064,509,147,1730,815,278,686,217,67,.6507692,.3461539,.0446154,.8560817,.4911792,.1132776,.8615385,.4121458,.1190283,.815653,.3842527,.1310703,.5146286,.1627907,.0502626,38.96831
18005,38033,3359,5061,6016,9013,5661,2277,876,109,4279,1928,693,4884,1962,756,6569,2773,1049,2154,824,357,.6778803,.2607919,.0324501,.8454851,.3809524,.1369295,.8118351,.3261303,.1256649,.7288361,.3076667,.1163874,.3804981,.1455573,.0630631,47.23883
18006,11085,970,1470,1730,2640,1611,649,330,26,1195,510,231,1231,570,121,1457,573,303,515,176,94,.6690722,.3402062,.0268041,.8129252,.3469388,.1571429,.7115607,.3294798,.0699422,.5518939,.2170455,.1147727,.3196772,.1092489,.0583489,57.90098
18007,30060,2868,4103,4649,7263,4027,1639,683,64,2997,1214,291,3088,1199,467,3791,1582,620,1477,714,422,.5714784,.2381451,.0223152,.7304412,.2958811,.0709237,.6642289,.2579049,.1004517,.5219606,.2178163,.0853642,.3667743,.1773032,.1047926,64.76141
18008,85991,7946,13261,15402,18580,6923,5688,3136,512,12070,8032,3875,14003,9261,3977,16140,9346,3948,3881,1684,564,.7158319,.394664,.0644349,.9101878,.6056858,.2922103,.9091676,.6012856,.2582132,.868676,.503014,.2124866,.5605951,.2432472,.0814676,14.63337
18009,19360,1589,2529,3098,4796,2592,1034,436,34,1994,1035,409,2650,1370,467,3739,1713,592,1433,655,284,.6507238,.2743864,.0213971,.7884539,.4092527,.161724,.8553905,.4422208,.1507424,.779608,.3571726,.1234362,.552855,.2527006,.1095679,38.92332
18010,49752,4499,6416,7760,12768,7753,3180,1743,190,5722,3523,971,6721,3645,1164,10282,5645,2108,4331,1988,647,.7068238,.3874194,.0422316,.8918329,.549096,.1513404,.8661082,.4697165,.15,.8052945,.4421209,.1651002,.5586225,.2564169,.0834516,27.80985
18011,27697,3229,3934,4181,6455,3921,2172,1468,119,3146,1760,757,3628,2032,876,5147,2964,1489,2252,1066,442,.6726541,.4546299,.0368535,.799695,.4473818,.192425,.867735,.4860081,.2095193,.7973664,.4591789,.2306739,.5743433,.2718694,.1127263,37.28769
18012,8279,749,1106,1324,1913,1117,519,236,24,946,475,165,1001,399,82,1359,569,223,495,139,50,.6929239,.3150868,.0320427,.8553345,.4294756,.1491863,.7560423,.3013595,.0619335,.7104025,.2974386,.1165708,.4431513,.1244405,.0447628,37.7459
18013,16100,1740,2096,2545,3884,1868,1094,538,30,1594,695,236,1695,701,247,2134,1018,398,556,326,157,.6287357,.3091954,.0172414,.7604962,.331584,.1125954,.6660118,.275442,.097053,.5494336,.2621009,.1024717,.2976445,.1745182,.0840471,74.5382
18014,18648,1654,2162,2838,4845,2656,966,360,84,1835,690,172,2331,792,186,3470,1284,444,980,327,128,.5840387,.2176542,.050786,.8487511,.3191489,.079556,.8213531,.2790698,.0655391,.7162023,.2650155,.0916409,.3689759,.1231175,.0481928,49.98285
18015,61236,5723,9260,10773,14490,4784,4072,1840,251,7873,4376,1143,9105,4080,996,10811,4487,1218,2100,784,262,.7115149,.3215097,.0438581,.850216,.4725702,.1234341,.8451685,.3787246,.0924534,.7461008,.3096618,.084058,.4389632,.1638796,.0547659,29.1564
18016,13010,1326,1738,2087,2983,1681,820,263,21,1355,399,154,1422,449,138,1860,621,169,515,257,83,.6184012,.1983409,.0158371,.7796317,.2295742,.0886076,.6813608,.2151414,.0661236,.6235334,.2081797,.0566544,.3063653,.1528852,.0493754,57.94942
18017,13060,931,1569,1900,3448,2348,685,312,6,1323,641,137,1572,739,205,2629,1219,469,1248,357,118,.735768,.3351235,.0064447,.8432122,.4085405,.0873168,.8273684,.3889474,.1078947,.762471,.3535383,.1360209,.5315162,.1520443,.0502555,42.31292
18018,34177,7204,4077,4381,7487,5087,6234,5028,506,3767,2657,1255,3663,2140,1021,6134,3786,2107,2822,1438,674,.8653526,.6979456,.0702388,.9239637,.6517047,.3078244,.8361105,.4884729,.2330518,.8192868,.5056765,.2814211,.5547474,.2826813,.1324946,35.19131
18019,88616,9321,12423,14585,19009,11167,6874,4261,621,11049,7301,3722,12995,7623,3166,15880,8780,3907,6304,2642,953,.7374745,.4571398,.0666238,.8893987,.5877002,.2996056,.8909839,.5226603,.2170723,.8353938,.4618865,.2055342,.5645205,.23659,.0853407,15.48392
18020,5351,438,626,767,1317,980,294,136,6,547,296,101,588,323,75,996,478,156,576,154,58,.6712329,.3105023,.0136986,.8738019,.4728434,.1613418,.7666232,.4211212,.0977836,.7562642,.3629461,.118451,.5877551,.1571429,.0591837,38.15696
18021,10155,970,1445,1597,2348,1300,634,293,1,1107,488,134,1177,651,170,1716,718,191,557,187,58,.6536083,.3020619,.0010309,.76609,.3377163,.0927336,.7370069,.4076393,.1064496,.7308348,.3057922,.0813458,.4284616,.1438462,.0446154,39.51364
18022,26889,3103,3658,4002,6376,3358,2066,1101,69,2985,1351,425,3058,1301,366,3981,1566,530,1172,494,229,.6658073,.3548179,.0222365,.8160197,.3693275,.1161837,.764118,.3250875,.0914543,.6243727,.2456085,.0831242,.3490173,.1471114,.0681954,54.01148
18023,15447,1389,1993,2258,3820,2352,746,179,17,1419,561,180,1487,439,127,2336,795,311,746,360,151,.537077,.1288697,.012239,.711992,.2814852,.0903161,.6585474,.1944198,.0562445,.6115183,.2081152,.0814136,.3171769,.1530612,.0642007,64.56979
18024,72265,12551,12667,9286,11387,7004,9588,3846,316,11040,6625,1295,7888,4543,1256,8647,4859,1781,3584,1670,696,.7639232,.3064298,.0251773,.871556,.5230126,.1022342,.8494508,.4892311,.1352574,.7593747,.4267147,.1564064,.5117076,.2384352,.0993718,38.88912
18025,33144,3005,4577,5413,8093,4104,1955,819,55,3861,2136,729,4611,2376,941,6115,3075,1317,2064,1021,478,.6505824,.2725458,.0183028,.8435656,.4666812,.1592746,.8518382,.4389433,.1738408,.7555913,.379958,.1627332,.502924,.2487817,.1164717,34.59031
18026,24556,2382,3874,4115,5559,2535,1238,396,40,2304,854,233,2531,1006,422,2604,1185,517,513,246,116,.5197313,.1662468,.0167926,.5947341,.220444,.0601446,.6150668,.2444714,.1025516,.4684296,.2131678,.0930023,.2023669,.0970414,.0457594,75.94464
18027,9634,905,1214,1445,2486,1449,522,255,27,929,375,133,996,461,145,1239,455,152,364,152,95,.5767956,.281768,.0298343,.7652389,.3088962,.1095552,.6892734,.3190311,.100346,.498391,.1830249,.0611424,.2512077,.1048999,.0655625,67.35445
18028,9384,823,1061,1400,2474,1525,497,225,10,836,428,102,1153,499,111,1687,585,162,649,217,98,.6038882,.27339,.0121507,.7879359,.403393,.0961357,.8235714,.3564286,.0792857,.6818917,.2364592,.065481,.4255738,.1422951,.0642623,49.51568
18029,7147,532,865,1061,1772,1274,293,89,9,667,258,110,742,251,82,1067,355,130,307,111,32,.5507519,.1672932,.0169173,.7710983,.2982659,.1271676,.6993402,.2365693,.0772856,.6021445,.2003386,.0733634,.2409733,.0871272,.0251177,62.92835
18030,91545,9001,11514,14671,20872,12688,6296,3524,404,10294,6122,2138,13193,6751,2447,17112,9590,4225,7630,3274,1358,.6994779,.3915121,.0448839,.894042,.5317006,.185687,.8992571,.4601595,.1667916,.8198544,.4594672,.2024243,.6013556,.2580391,.1070303,28.24276
18031,11644,1081,1511,1728,2944,1682,727,218,26,1232,482,73,1313,384,71,1831,634,160,475,198,83,.6725255,.2016651,.0240518,.815354,.318994,.0483124,.759838,.2222222,.041088,.6219429,.2153533,.0543478,.2824019,.117717,.049346,61.04983
18032,6748,680,856,997,1667,902,407,136,26,665,254,100,612,273,89,822,335,113,225,90,43,.5985294,.2,.0382353,.7768692,.296729,.1168224,.6138415,.2738215,.0892678,.4931014,.2009598,.0677864,.2494457,.0997783,.0476718,60.45296
18033,15307,1510,2173,2294,3659,2063,851,378,28,1651,804,271,1606,483,127,2024,650,249,680,228,60,.5635762,.2503311,.018543,.7597791,.3699954,.1247124,.7000872,.2105493,.0553618,.5531566,.1776442,.0680514,.3296171,.1105187,.0290839,56.41235
18034,260512,40790,44455,42257,54525,25998,32130,25167,4934,40174,32484,18846,37698,28238,15242,47558,34278,19755,18053,11035,5772,.7876931,.6169894,.120961,.9037004,.7307165,.4239343,.8921126,.6682443,.3606976,.8722237,.6286657,.3623109,.6943996,.4244557,.2220171,23.97029
18035,13792,1227,1953,2062,3293,1846,831,370,24,1650,834,173,1713,731,221,2011,825,297,711,222,115,.6772616,.3015485,.0195599,.8448541,.4270353,.0885817,.8307468,.3545102,.1071775,.6106893,.2505314,.0901913,.3851571,.12026,.0622969,50.33119
18036,42441,4267,6036,6816,10342,5176,2559,1255,87,4432,2410,601,4839,2382,638,6228,3018,1161,1898,1095,347,.5997187,.2941177,.020389,.7342611,.399271,.0995693,.7099472,.3494718,.0936033,.6022046,.2918198,.1122607,.3666924,.2115533,.0670402,60.36939
18037,47687,4700,6814,7865,11859,5850,3498,2091,255,5660,3540,1587,6582,4004,1840,9663,5967,3435,3609,1837,861,.7442553,.4448936,.0542553,.8306428,.5195186,.2329028,.8368722,.5090909,.2339479,.8148242,.5031621,.2896534,.6169231,.3140171,.1471795,21.64688
18038,7752,754,891,1092,1777,1351,473,123,16,655,230,74,884,396,143,1255,585,229,759,351,142,.6273209,.16313,.0212202,.7351291,.2581369,.0830527,.8095238,.3626374,.1309524,.7062465,.3292065,.1288689,.5618061,.2598076,.1051073,45.9027
18039,7870,681,1136,1287,1772,812,416,122,0,924,319,45,928,306,75,1236,440,164,315,115,61,.6108664,.1791483,0,.8133803,.2808098,.0396127,.7210567,.2377622,.0582751,.6975169,.248307,.0925508,.387931,.1416256,.0751232,36.27576
18040,14792,1331,2013,2519,3481,1938,764,333,54,1565,852,254,1990,927,353,2447,1218,339,901,353,99,.5740045,.2501878,.040571,.7774466,.4232489,.1261798,.789996,.3680032,.140135,.7029589,.3498994,.0973858,.4649123,.1821465,.0510836,42.18639
18041,22384,2287,3473,3628,4627,2133,1513,550,61,2917,1232,408,2796,1103,350,3316,1251,404,1009,321,142,.6615654,.2404897,.0266725,.8399079,.3547365,.1174777,.7706726,.3040242,.0964719,.7166631,.2703696,.0873136,.4730427,.1504923,.0665729,31.04173
18042,37028,3248,4495,5581,8846,6010,2140,1102,93,3768,1995,758,4549,2008,687,6923,3413,1362,3057,1187,323,.658867,.3392857,.028633,.8382648,.4438265,.1686318,.8150869,.3597921,.1230962,.7826136,.3858241,.1539679,.5086523,.1975042,.0537438,34.09996
