oldcode,_type_,_freq_,ed_25plus_hsormore70,ed_25plus_collegeormore70,ed_18_24_hsormore70,ed_18_24_collegeormore70,total_pop25_plus70,total_pop18_24_70,total_pop70,povrate60
44034,0,1,.3890003,.0592237,.5462963,.0236111,13964,2160,23474,45.5691
44035,0,1,.4522946,.0830309,.3300971,.0409924,4685,927,9981,33.27475
44036,0,1,.3767292,.0640947,.5592784,.0300687,6506,1164,11996,31.61889
44037,0,1,.3128303,.0546132,.5281207,.0401235,19867,2916,31341,49.75322
44038,0,1,.374601,.0645235,.5546558,.0202429,4386,494,6373,33.51191
44039,0,1,.3540802,.047619,.4947552,.0192308,5061,572,7962,24.02442
44040,0,1,.3649307,.0494567,.2857143,.0467033,2669,364,5275,31.19396
44041,0,1,.4041451,.061658,.4832714,.0594796,1930,269,2990,20.86743
44042,0,1,.3615485,.0663007,.4778157,.0546075,6923,586,10034,39.9642
44043,0,1,.4814417,.1042879,.5610482,.0548159,35402,7060,64509,33.58814
44044,0,1,.3752482,.0539378,.4486803,.0146628,3022,341,4629,38.66084
44045,0,1,.2548981,.0409397,.4796512,.0181686,10259,1376,17213,41.85006
44046,0,1,.3542745,.0720064,.5339889,.0414707,13721,2339,23447,32.12006
44047,0,1,.3082487,.0480964,.5527273,.0278788,7880,825,11386,42.02106
44048,0,1,.3617693,.059505,.4782609,.0271739,1899,184,2812,39.93541
44049,0,1,.4629978,.0665512,.6060465,.0344186,13283,2150,23051,29.80209
44050,0,1,.5346624,.0780094,.7042983,.0561022,13242,11586,34431,37.29586
44051,0,1,.3293051,.0669688,.4225352,.0328638,1986,213,3123,47.86002
44052,0,1,.3989455,.0391037,.3780822,.0520548,2276,365,4051,10.81081
44053,0,1,.4779661,.0731235,.3532609,0,2065,368,3812,26.20658
44054,0,1,.3752612,.0440869,.3328488,.0188953,4786,688,8881,39.15229
44055,0,1,.4322034,.1199479,.4205882,.0647059,1534,340,3398,40.77977
44056,0,1,.4417288,.0679583,.5291971,.0127737,3355,548,5871,25.78451
44057,0,1,.5647775,.1452441,.5898749,.0778823,692324,155889,1295793,18.8031
44058,0,1,.3613714,.0754286,.3216463,.0106707,8750,1312,15952,34.99051
44059,0,1,.4504015,.0856238,.3846582,.0478043,8841,1799,18265,35.53725
44060,0,1,.3298654,.0342717,.562189,.0124378,3268,402,4859,52.94426
44061,0,1,.5363047,.1609591,.7823799,.0644737,35450,17480,73754,26.14062
44062,0,1,.2568583,.0496243,.4689755,.0266955,11446,1386,17853,51.28574
44063,0,1,.3243018,.0512714,.3142857,0,2399,175,3709,42.24138
44064,0,1,.2054523,.0503098,.2123357,.0141557,4035,989,8735,68.40784
44065,0,1,.3771744,.0670344,.7420213,.0106383,2357,376,3582,34.3018
44066,0,1,.2418388,.0409727,.4446602,.015534,6004,1030,11331,56.33984
